Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",0,4.03,Vintage Books,Paperback,296,2000,1987,,2021/01/03,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.86,Hogarth Press,Hardcover,273,2019,2018,,2021/01/03,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
13697575,Technoscience and Environmental Justice: Expert Cultures in a Grassroots Movement,Gwen Ottinger,"Ottinger, Gwen","Kim Fortun, Benjamin R. Cohen","=""0262516187""","=""9780262516181""",0,4.50,MIT Press,Paperback,312,2011,2011,,2021/01/03,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
360882,Phaedrus,Plato,"Plato, Plato","Alexander Nehamas, Paul Woodruff","=""0872202208""","=""9780872202207""",4,3.94,"Hackett Publishing Company, Inc.",Paperback,144,1995,-370,,2021/01/03,,,read,,,,1,,,0,,,,,
37707827,"Palaces for the People: How Social Infrastructure Can Help Fight Inequality, Polarization, and the Decline of Civic Life",Eric Klinenberg,"Klinenberg, Eric",,"=""1524761168""","=""9781524761165""",0,3.99,Crown Publishing Group (NY),Hardcover,288,2018,2018,,2020/04/02,wishlist,wishlist (#21),wishlist,,,,0,,,0,,,,,
4138,Naked,David Sedaris,"Sedaris, David",,"=""""","=""""",0,4.08,Back Bay Books,Paperback,304,1998,1997,,2020/04/03,wishlist,wishlist (#20),wishlist,,,,0,,,0,,,,,
32497573,Everyone's a Aliebn When Ur a Aliebn Too,Jomny Sun,"Sun, Jomny",Jonny Sun,"=""""","=""""",0,4.08,Harper Perennial,ebook,256,2017,2017,,2020/04/03,wishlist,wishlist (#19),wishlist,,,,0,,,0,,,,,
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",0,4.47,Crown Publishers,Hardcover,418,2016,2016,,2020/04/14,wishlist,wishlist (#18),wishlist,,,,0,,,0,,,,,
40534545,"Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living",Hector Garcia Puigcerver,"Puigcerver, Hector Garcia","Francesc Miralles, Meik Wiking, Linnea Dunne","=""9123672609""","=""9789123672608""",0,3.86,Hutchinson/Penguin Life/Gaia,Hardcover,208,,,,2020/04/14,wishlist,wishlist (#17),wishlist,,,,0,,,0,,,,,
16634,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston, Theodore Ziolkowski","=""0312278497""","=""9780312278496""",0,4.12,Picador,Paperback,578,2002,1943,,2020/04/20,wishlist,wishlist (#16),wishlist,,,,0,,,0,,,,,
